,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,actual_income,predicted_income
5308,40, Private,343068, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Female,40, United-States, <=50K, <=50K
20941,38, Private,69306, Some-college,10, Divorced, Craft-repair, Unmarried, White, Female,40, United-States, <=50K, <=50K
6802,59, Self-emp-not-inc,325732, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,52, United-States, >50K, <=50K
22474,36, Self-emp-not-inc,340001, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K, <=50K
9577,35, Federal-gov,35309, Bachelors,13, Never-married, Tech-support, Not-in-family, Asian-Pac-Islander, Male,28,ffill, <=50K, <=50K
6178,71, Self-emp-not-inc,163293, Prof-school,15, Married-civ-spouse, Farming-fishing, Husband, White, Male,2, United-States, <=50K, <=50K
15537,59, Private,153484, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,50, United-States, >50K, >50K
31097,28, Private,273269, Some-college,10, Never-married, Craft-repair, Not-in-family, Black, Male,40, United-States, <=50K, <=50K
27710,41, Private,37997, 12th,8, Divorced, Transport-moving, Not-in-family, White, Male,84, United-States, >50K, <=50K
18391,28, Self-emp-inc,146042, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,50, United-States, <=50K, <=50K
13610,17, Private,193199, 11th,7, Never-married, Sales, Unmarried, White, Female,12, Poland, <=50K, <=50K
22957,47, Private,112791, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States, <=50K, <=50K
16939,25, Private,99126, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Wife, White, Female,40, United-States, >50K, >50K
10331,35, Self-emp-not-inc,195744, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,50, United-States, <=50K, <=50K
28798,48, Private,266764, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,45, United-States, >50K, <=50K
13180,39, Private,316211, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States, >50K, >50K
6396,28, Private,138283, Assoc-voc,11, Never-married, Other-service, Not-in-family, White, Female,40, United-States, <=50K, <=50K
27784,47, State-gov,160045, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K, <=50K
31389,54, Private,223660, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,55, United-States, >50K, >50K
28824,22, Private,218343, HS-grad,9, Never-married, Other-service, Own-child, White, Female,40, United-States, <=50K, <=50K
17850,24, Private,170277, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,35, United-States, <=50K, <=50K
11740,34, Local-gov,97723, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, >50K, >50K
3564,57, Self-emp-not-inc,149168, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,55, United-States, <=50K, <=50K
18495,25, Private,248990, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, Guatemala, <=50K, <=50K
26211,26, Private,213258, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K, <=50K
27482,34, Private,159322, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, >50K, >50K
20962,23, Private,164231, 11th,7, Separated, Prof-specialty, Own-child, White, Male,35, United-States, <=50K, <=50K
1448,51, Private,185283, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States, >50K, >50K
5234,38, Private,174242, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,40, United-States, >50K, >50K
22331,26, State-gov,175044, Some-college,10, Never-married, Protective-serv, Own-child, White, Male,40, United-States, <=50K, <=50K
6892,27, Private,386040, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,40, Mexico, <=50K, <=50K
18730,53, Federal-gov,90127, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,60, United-States, >50K, >50K
29933,55, Private,368797, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States, >50K, >50K
15127,46, Private,241935, 11th,7, Married-civ-spouse, Other-service, Husband, Black, Male,40, United-States, >50K, <=50K
13407,36, Private,112264, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,50, United-States, <=50K, <=50K
23964,44, Private,193524, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, <=50K, >50K
20706,33, Private,204829, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,45, United-States, <=50K, <=50K
18461,34, Private,209691, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States, >50K, >50K
10632,36, Federal-gov,184556, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,40, United-States, <=50K, >50K
15956,21, Private,409230, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,40, Guatemala, <=50K, <=50K
2459,31, Self-emp-not-inc,122749, Assoc-voc,11, Divorced, Craft-repair, Own-child, White, Male,20, United-States, <=50K, <=50K
27044,45, Private,221780, Some-college,10, Divorced, Handlers-cleaners, Not-in-family, White, Male,30, United-States, <=50K, <=50K
32164,18, Private,119655, 12th,8, Never-married, Adm-clerical, Own-child, White, Female,12, United-States, <=50K, <=50K
30744,38, Private,252897, Some-college,10, Divorced, Sales, Own-child, White, Female,25, United-States, <=50K, <=50K
4659,38, Private,111499, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,50, United-States, >50K, <=50K
20611,48, Self-emp-not-inc,101233, Assoc-voc,11, Married-civ-spouse, Other-service, Wife, White, Female,15, United-States, <=50K, <=50K
9765,36, Private,218542, Some-college,10, Divorced, Craft-repair, Unmarried, White, Female,40, United-States, <=50K, <=50K
14169,22, Federal-gov,209131, Assoc-acdm,12, Never-married, Other-service, Own-child, White, Male,20, United-States, <=50K, <=50K
4898,44, Local-gov,101593, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,42, United-States, <=50K, <=50K
4639,30, Local-gov,125159, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black, Male,45,ffill, >50K, <=50K
2688,42, Private,154374, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White, Male,58, United-States, <=50K, >50K
13240,28, Private,204074, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,48, United-States, <=50K, >50K
6372,27, Private,159724, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,40, United-States, <=50K, <=50K
10167,24, Private,196816, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, <=50K, >50K
26818,23, Private,348420, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Male,40, United-States, <=50K, <=50K
14544,52, Private,187356, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,41, United-States, <=50K, <=50K
26585,25, Private,64860, Some-college,10, Married-spouse-absent, Adm-clerical, Unmarried, White, Female,22, United-States, <=50K, <=50K
23269,20, Private,153583, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,40,ffill, <=50K, <=50K
3907,28, Private,247445, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Male,40, United-States, <=50K, <=50K
26671,19,ffill,71592, Some-college,10, Never-married,ffill, Own-child, Asian-Pac-Islander, Female,40, United-States, <=50K, <=50K
8862,33, Self-emp-not-inc,202729, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K, <=50K
4312,35, Private,278403, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,80, United-States, >50K, >50K
9057,41, Private,35166, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States, >50K, >50K
23252,19,ffill,440417, Some-college,10, Never-married,ffill, Own-child, White, Female,15, United-States, <=50K, <=50K
12534,42, Self-emp-not-inc,104118, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Male,40, United-States, <=50K, <=50K
26119,28, State-gov,200775, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,40, United-States, <=50K, >50K
21933,34, Private,190385, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, >50K, <=50K
30479,30, Private,333119, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K, <=50K
1144,56, Self-emp-not-inc,200235, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,60, United-States, <=50K, <=50K
30307,17, Private,128617, 10th,6, Never-married, Handlers-cleaners, Own-child, White, Male,26, United-States, <=50K, <=50K
29863,30, Private,177304, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,44, United-States, <=50K, >50K
28295,28, Private,204734, Some-college,10, Married-civ-spouse, Tech-support, Wife, White, Female,40, United-States, <=50K, >50K
2320,40, Private,234633, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K, <=50K
16788,18,ffill,256179, Some-college,10, Never-married,ffill, Own-child, White, Male,10, United-States, <=50K, <=50K
32433,33, Private,139057, Masters,14, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,50, United-States, >50K, >50K
755,27, Private,31757, Assoc-voc,11, Never-married, Craft-repair, Own-child, White, Male,38, United-States, <=50K, <=50K
1799,63, Private,151210, 7th-8th,4, Divorced, Sales, Not-in-family, White, Female,40, United-States, <=50K, <=50K
19189,40, Private,145160, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, >50K, >50K
14957,35, Private,187053, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Female,60, United-States, >50K, <=50K
23271,41, Private,439919, 5th-6th,3, Married-civ-spouse, Farming-fishing, Husband, White, Male,40, Mexico, <=50K, <=50K
18920,43, Local-gov,106982, Bachelors,13, Separated, Prof-specialty, Unmarried, White, Female,40, United-States, <=50K, <=50K
26018,60, Private,325971, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, >50K, <=50K
19650,30, Private,149507, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,42, United-States, <=50K, <=50K
642,21, Private,160968, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,40, United-States, <=50K, <=50K
9758,37, Local-gov,218490, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,35, United-States, >50K, <=50K
12960,46, State-gov,27243, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,45, United-States, >50K, >50K
4270,52, Federal-gov,129177, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K, <=50K
15000,30, Private,163003, Bachelors,13, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,52, Taiwan, <=50K, <=50K
16351,31, Private,284703, Masters,14, Never-married, Prof-specialty, Not-in-family, Black, Male,40, United-States, <=50K, <=50K
17227,57, Private,266189, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,42, United-States, <=50K, <=50K
22212,38, Local-gov,40955, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,43, United-States, <=50K, <=50K
8962,22, Private,199266, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,30, United-States, <=50K, <=50K
11226,32, Private,244147, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,50, United-States, <=50K, <=50K
17241,65, Private,101104, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,10, United-States, >50K, <=50K
21469,29, Private,40295, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, <=50K, <=50K
23850,67,ffill,200862, 10th,6, Never-married,ffill, Not-in-family, Black, Female,35, United-States, <=50K, <=50K
30431,39, Private,294919, HS-grad,9, Divorced, Transport-moving, Own-child, White, Male,60, United-States, <=50K, <=50K
13008,39, Private,203070, Assoc-voc,11, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,49, United-States, <=50K, <=50K
29042,64,ffill,64101, 12th,8, Married-civ-spouse,ffill, Husband, White, Male,24, United-States, <=50K, <=50K
11588,27,ffill,157624, HS-grad,9, Separated,ffill, Other-relative, White, Female,40, United-States, <=50K, <=50K
28069,31, Private,216827, HS-grad,9, Separated, Other-service, Unmarried, Black, Female,40, United-States, <=50K, <=50K
2186,47, Self-emp-not-inc,77102, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Male,40, United-States, <=50K, <=50K
23050,36, Private,408229, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,32, United-States, <=50K, <=50K
17365,32, Private,207937, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K, <=50K
7048,31, Private,159737, 10th,6, Never-married, Adm-clerical, Unmarried, Black, Female,40, United-States, <=50K, <=50K
23535,65, Private,95303, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, >50K, >50K
16171,36, Private,202662, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, >50K, >50K
29827,41, Local-gov,174575, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K, <=50K
12393,47, Private,214800, Assoc-voc,11, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States, <=50K, <=50K
14614,50, Private,153931, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K, <=50K
30670,20, Private,182342, Some-college,10, Never-married, Farming-fishing, Own-child, White, Male,40, United-States, <=50K, <=50K
13505,57, Private,171242, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, >50K, >50K
4880,37, Private,30267, 11th,7, Never-married, Transport-moving, Not-in-family, White, Male,60, United-States, >50K, <=50K
15842,36, Local-gov,212856, 11th,7, Never-married, Other-service, Unmarried, White, Female,23, United-States, <=50K, <=50K
4757,37, Federal-gov,196348, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K, <=50K
20102,32, Private,45796, 12th,8, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States, <=50K, <=50K
12273,24, Private,99970, Bachelors,13, Never-married, Tech-support, Own-child, White, Male,40, United-States, <=50K, <=50K
10915,20, Private,236592, 12th,8, Never-married, Prof-specialty, Not-in-family, White, Female,35, Italy, <=50K, <=50K
11644,42, Federal-gov,115932, Bachelors,13, Divorced, Adm-clerical, Own-child, White, Male,40, United-States, <=50K, <=50K
21506,31, Private,288566, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,43, United-States, >50K, >50K
6072,55, Private,169611, 11th,7, Widowed, Adm-clerical, Unmarried, White, Female,40, United-States, <=50K, <=50K
31524,35, Private,48779, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,35, United-States, <=50K, <=50K
19333,26, Private,266022, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, <=50K, >50K
28311,25, State-gov,262664, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States, >50K, >50K
22477,34, Private,305619, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K, <=50K
29512,25, Private,215384, 11th,7, Never-married, Other-service, Not-in-family, White, Male,40, United-States, <=50K, <=50K
25318,42, Private,212737, 9th,5, Separated, Craft-repair, Unmarried, Black, Male,40, United-States, <=50K, <=50K
27738,29, Private,188729, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,45, United-States, <=50K, <=50K
25518,33, Local-gov,422718, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,40, United-States, <=50K, <=50K
6021,34, Private,297094, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,40, United-States, <=50K, <=50K
21471,59, Private,31137, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K, <=50K
1682,43, Private,176270, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States, >50K, >50K
14535,65, Private,243858, HS-grad,9, Widowed, Other-service, Not-in-family, White, Female,15, United-States, <=50K, <=50K
17378,39, State-gov,119421, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,35, United-States, <=50K, <=50K
15625,42, State-gov,83411, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, >50K, <=50K
20127,44, Private,377018, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K, <=50K
15910,23, Private,193586, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,25, United-States, <=50K, <=50K
10637,33, Private,188861, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K, <=50K
28854,68, Local-gov,144761, HS-grad,9, Widowed, Protective-serv, Not-in-family, White, Male,20, United-States, <=50K, <=50K
14837,54, Private,171924, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,48, United-States, <=50K, >50K
2467,46, Private,62793, HS-grad,9, Divorced, Sales, Other-relative, White, Female,40, United-States, <=50K, <=50K
29695,47, Private,106255, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K, <=50K
25114,47, Private,145041, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, Cuba, >50K, <=50K
31532,28, Private,251905, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States, <=50K, >50K
9771,34, Private,344073, HS-grad,9, Separated, Adm-clerical, Not-in-family, White, Male,40, United-States, >50K, <=50K
31932,34, Private,111589, 10th,6, Never-married, Other-service, Unmarried, Black, Female,40, Jamaica, <=50K, <=50K
788,59,ffill,192130, HS-grad,9, Married-civ-spouse,ffill, Husband, White, Male,16, United-States, <=50K, <=50K
15069,51, Local-gov,123011, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,35, United-States, >50K, >50K
6283,19,ffill,169324, Some-college,10, Never-married,ffill, Own-child, White, Male,10, United-States, <=50K, <=50K
30049,22, Private,192455, HS-grad,9, Never-married, Adm-clerical, Unmarried, White, Female,40, United-States, <=50K, <=50K
14312,47, Private,236805, Some-college,10, Divorced, Sales, Unmarried, White, Female,60, United-States, <=50K, <=50K
30108,37, Federal-gov,45937, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Wife, White, Female,40, United-States, >50K, >50K
22048,67,ffill,209137, Bachelors,13, Married-civ-spouse,ffill, Husband, White, Male,40, United-States, <=50K, <=50K
17675,49, Private,190115, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,44, United-States, <=50K, <=50K
7465,38, Private,241153, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,48, United-States, >50K, >50K
30246,19, Private,229431, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,11, United-States, <=50K, <=50K
9657,37, Local-gov,365430, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, Canada, >50K, <=50K
32145,20, Private,200153, HS-grad,9, Never-married, Other-service, Own-child, White, Female,38, United-States, <=50K, <=50K
13409,46, Private,155659, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, Germany, >50K, >50K
23710,39, Private,262841, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, >50K, >50K
17609,27, Local-gov,206125, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,60, United-States, <=50K, <=50K
16160,51, Private,257337, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,50, United-States, <=50K, <=50K
14259,46, Private,216666, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, Guatemala, <=50K, <=50K
30129,22, Private,210781, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,35, United-States, <=50K, <=50K
15824,53, Private,290688, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,52, United-States, >50K, <=50K
28121,33,ffill,289046, HS-grad,9, Divorced,ffill, Not-in-family, Black, Male,40, United-States, <=50K, <=50K
10984,25, Private,202560, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,40, United-States, <=50K, <=50K
25953,28, Private,153869, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K, <=50K
5852,40, Private,37618, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,40,ffill, <=50K, <=50K
4090,19,ffill,175499, 11th,7, Never-married,ffill, Own-child, White, Female,30, United-States, <=50K, <=50K
26354,31, Private,61559, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,50, United-States, <=50K, <=50K
13302,19, Private,607799, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Female,60, United-States, <=50K, <=50K
18569,42,ffill,109912, Assoc-acdm,12, Never-married,ffill, Other-relative, White, Female,40, United-States, <=50K, <=50K
15776,18,ffill,171088, Some-college,10, Never-married,ffill, Own-child, White, Female,40, United-States, <=50K, <=50K
27864,49, Private,40666, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,50, United-States, <=50K, <=50K
9167,37, Private,227597, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K, <=50K
8199,22, Private,208946, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,25, United-States, <=50K, <=50K
9782,45, Self-emp-inc,155664, 5th-6th,3, Married-civ-spouse, Craft-repair, Husband, White, Male,40,ffill, >50K, <=50K
20889,26, Federal-gov,207537, HS-grad,9, Never-married, Adm-clerical, Not-in-family, Black, Female,40, United-States, <=50K, <=50K
22932,37, Private,219141, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,40, United-States, >50K, <=50K
23500,76, Private,142535, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Male,6, United-States, <=50K, <=50K
18870,49, Private,291783, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K, >50K
4372,20, Private,27049, Some-college,10, Never-married, Exec-managerial, Own-child, White, Female,20, United-States, <=50K, <=50K
31582,52, Private,146767, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, >50K, <=50K
22264,39, Private,98776, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Male,50, United-States, >50K, <=50K
25465,26, Private,165673, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, <=50K, <=50K
8005,44,ffill,174147, Some-college,10, Married-civ-spouse,ffill, Husband, White, Male,40, United-States, <=50K, <=50K
23143,19, Private,266255, HS-grad,9, Never-married, Sales, Own-child, White, Female,40, United-States, <=50K, <=50K
17974,59, Self-emp-not-inc,32552, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,48, United-States, <=50K, <=50K
15647,36, Private,150042, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,40, United-States, <=50K, <=50K
18157,36,ffill,128640, Some-college,10, Married-civ-spouse,ffill, Wife, White, Female,25, United-States, <=50K, <=50K
14947,32, Private,171215, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Male,48, United-States, <=50K, <=50K
4374,31, Self-emp-not-inc,348038, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, Puerto-Rico, >50K, >50K
4055,50, Self-emp-inc,156623, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,50, Philippines, >50K, >50K
3935,17, Private,200199, 11th,7, Never-married, Sales, Own-child, White, Female,35, United-States, <=50K, <=50K
29473,39, State-gov,142897, Assoc-voc,11, Never-married, Exec-managerial, Unmarried, White, Female,50, United-States, <=50K, <=50K
20387,41,ffill,77937, 12th,8, Divorced,ffill, Not-in-family, White, Female,40, Canada, <=50K, <=50K
22158,35, State-gov,372130, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, Black, Male,40, United-States, <=50K, <=50K
16701,29, Local-gov,142443, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,60, United-States, <=50K, >50K
26394,60, Private,113440, Bachelors,13, Divorced, Exec-managerial, Own-child, White, Male,60, United-States, <=50K, <=50K
10261,52, Private,177995, 1st-4th,2, Married-civ-spouse, Farming-fishing, Husband, White, Male,56, Mexico, >50K, <=50K
3242,29, Private,406662, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,40, United-States, <=50K, <=50K
31841,40, Self-emp-not-inc,107762, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States, <=50K, >50K
25116,49, Self-emp-not-inc,215096, 9th,5, Divorced, Other-service, Not-in-family, White, Female,20, United-States, <=50K, <=50K
27050,53, Self-emp-inc,134854, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, Greece, >50K, >50K
